                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7206,                 1.9887,                 2.6159,                0.91576,                0.83871,                0.92804,                0.61109,                 2.4216,                  1.253,                 2.4574,              0.0033311,              0.0033311,              0.0033311
                      2,                 2.7277,                  1.391,                 2.6355,                0.85268,                0.83037,                0.87892,                0.53716,                 2.5903,                 1.5921,                 2.7373,              0.0065985,              0.0065985,              0.0065985
                      3,                 2.8068,                 1.4942,                 2.6951,                0.77612,                0.74204,                 0.8149,                0.49201,                 2.7613,                 1.8637,                 2.7532,              0.0097998,              0.0097998,              0.0097998
                      4,                 2.8714,                 1.5218,                 2.7634,                0.84768,                0.81245,                0.88632,                0.53671,                 2.7528,                 1.5532,                 2.9821,               0.009703,               0.009703,               0.009703
                      5,                 2.8031,                 1.4101,                 2.7503,                0.88841,                0.83044,                 0.9153,                0.55949,                 2.7562,                 1.4446,                 2.9852,               0.009604,               0.009604,               0.009604
                      6,                 2.7691,                  1.353,                 2.7412,                0.90217,                0.82977,                0.92091,                0.61306,                 2.4479,                 1.3442,                 2.6662,               0.009505,               0.009505,               0.009505
                      7,                 2.7069,                 1.2833,                 2.7085,                  0.909,                0.84704,                0.93105,                 0.6001,                 2.5311,                 1.2916,                 2.8571,               0.009406,               0.009406,               0.009406
                      8,                  2.668,                 1.2686,                 2.6905,                0.91506,                0.86353,                0.93675,                0.61475,                  2.486,                 1.2763,                 2.8337,               0.009307,               0.009307,               0.009307
                      9,                 2.6298,                 1.2247,                 2.6543,                0.92622,                0.86726,                0.94415,                0.62578,                 2.4169,                 1.2018,                 2.6909,               0.009208,               0.009208,               0.009208
                     10,                 2.5995,                 1.1834,                 2.6297,                0.91433,                0.87136,                0.94262,                0.61932,                 2.4593,                   1.19,                 2.7818,               0.009109,               0.009109,               0.009109
                     11,                 2.5823,                 1.1628,                 2.6458,                0.91567,                0.87896,                0.94777,                0.64732,                  2.351,                 1.1438,                 2.8673,                0.00901,                0.00901,                0.00901
                     12,                 2.5636,                 1.1342,                 2.6371,                0.93019,                0.88689,                0.95193,                 0.6362,                 2.4387,                 1.1199,                 2.7946,               0.008911,               0.008911,               0.008911
                     13,                 2.5469,                 1.1313,                 2.6174,                0.92759,                0.87177,                0.94548,                0.65528,                 2.3237,                 1.1398,                  2.763,               0.008812,               0.008812,               0.008812
                     14,                  2.513,                 1.1194,                 2.6147,                0.93504,                0.87561,                0.95084,                0.64974,                 2.3387,                  1.106,                 2.8306,               0.008713,               0.008713,               0.008713
                     15,                 2.5189,                 1.0964,                  2.623,                0.91667,                0.88377,                0.94714,                0.64434,                 2.3436,                 1.1527,                 2.7927,               0.008614,               0.008614,               0.008614
                     16,                 2.5006,                  1.079,                 2.5994,                0.93212,                0.89486,                0.95659,                0.65161,                 2.3167,                 1.0635,                 2.7786,               0.008515,               0.008515,               0.008515
                     17,                 2.4692,                 1.0796,                 2.5821,                0.92868,                  0.884,                0.95011,                 0.6443,                 2.3733,                 1.1042,                 2.7616,               0.008416,               0.008416,               0.008416
                     18,                  2.448,                 1.0571,                 2.5677,                0.94142,                0.89234,                0.95868,                0.65094,                 2.3847,                 1.0457,                 2.8317,               0.008317,               0.008317,               0.008317
                     19,                 2.4445,                 1.0362,                 2.5821,                0.92741,                0.88796,                0.95107,                0.63136,                 2.4562,                 1.0984,                 3.0242,               0.008218,               0.008218,               0.008218
                     20,                 2.4491,                 1.0365,                 2.5825,                0.92839,                0.89166,                0.95609,                0.65998,                 2.3235,                 1.0438,                 2.8339,               0.008119,               0.008119,               0.008119
                     21,                 2.4097,                 1.0119,                 2.5554,                0.92304,                0.89087,                 0.9538,                0.64722,                 2.3867,                  1.056,                 2.8573,                0.00802,                0.00802,                0.00802
                     22,                 2.4077,                 1.0144,                 2.5544,                0.94467,                0.89866,                0.96124,                0.66311,                 2.3695,                 1.0099,                 2.8378,               0.007921,               0.007921,               0.007921
                     23,                 2.4023,                 1.0056,                 2.5655,                0.93386,                0.88604,                0.95586,                0.64847,                 2.4019,                 1.0545,                 2.8754,               0.007822,               0.007822,               0.007822
                     24,                 2.4018,                 1.0019,                 2.5481,                0.94076,                0.88941,                 0.9558,                0.64998,                 2.3726,                 1.0392,                 2.9237,               0.007723,               0.007723,               0.007723
                     25,                 2.3803,                0.98934,                  2.544,                0.95509,                0.90161,                0.96302,                0.65262,                 2.3683,                 1.0014,                 2.8532,               0.007624,               0.007624,               0.007624
                     26,                 2.3728,                0.97995,                 2.5337,                0.94782,                0.89916,                0.96339,                0.66387,                 2.3328,                0.99842,                 2.7673,               0.007525,               0.007525,               0.007525
                     27,                 2.3588,                0.97305,                 2.5153,                0.94798,                  0.904,                0.96276,                0.64703,                 2.3949,                 1.0045,                 2.8614,               0.007426,               0.007426,               0.007426
                     28,                 2.3418,                0.97216,                 2.5167,                0.94176,                0.90187,                0.96048,                 0.6595,                  2.338,                0.99508,                 2.8176,               0.007327,               0.007327,               0.007327
                     29,                 2.3395,                0.96139,                 2.5008,                0.94056,                0.89777,                0.96261,                0.68209,                 2.2801,                 0.9816,                  2.804,               0.007228,               0.007228,               0.007228
                     30,                 2.3301,                0.95084,                 2.4947,                0.93348,                0.90593,                0.96111,                 0.6611,                 2.2902,                0.98154,                 2.7671,               0.007129,               0.007129,               0.007129
                     31,                 2.3229,                0.94839,                 2.4985,                0.93621,                0.89364,                0.95574,                0.66626,                  2.244,                 1.0095,                 2.7928,                0.00703,                0.00703,                0.00703
                     32,                 2.3126,                0.93267,                  2.502,                0.94255,                0.90749,                0.96285,                0.67312,                 2.2747,                 0.9645,                 2.8137,               0.006931,               0.006931,               0.006931
                     33,                 2.3144,                0.92729,                 2.4768,                0.95357,                0.90508,                0.96811,                0.68223,                 2.2746,                0.93157,                 2.7229,               0.006832,               0.006832,               0.006832
                     34,                 2.2982,                0.92061,                 2.4699,                0.94722,                0.90366,                0.96426,                0.66054,                 2.3387,                0.97552,                 2.8431,               0.006733,               0.006733,               0.006733
                     35,                 2.2749,                0.90513,                  2.492,                0.95708,                0.89453,                0.96349,                0.67149,                 2.3102,                0.95623,                  2.865,               0.006634,               0.006634,               0.006634
                     36,                 2.2738,                0.91424,                 2.4609,                0.94192,                0.91231,                0.96637,                0.67896,                  2.269,                0.95483,                 2.7566,               0.006535,               0.006535,               0.006535
