                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3688,                 2.7635,                 2.9605,                0.85439,                0.81233,                0.87028,                0.47746,                 3.0055,                 1.6868,                 2.8052,              0.0033311,              0.0033311,              0.0033311
                      2,                 3.3266,                 2.1472,                 2.9359,                0.81959,                0.72392,                0.81693,                0.45595,                 3.0148,                 2.2527,                 2.9772,              0.0065985,              0.0065985,              0.0065985
                      3,                 3.3918,                 2.3297,                 2.9713,                0.76289,                0.68381,                0.75849,                0.40057,                 3.2159,                 2.4887,                  3.088,              0.0097998,              0.0097998,              0.0097998
                      4,                 3.4574,                  2.424,                 3.0598,                0.84995,                0.72666,                0.81091,                0.42674,                 3.2772,                 2.1456,                 3.1083,               0.009703,               0.009703,               0.009703
                      5,                 3.3678,                 2.2287,                  3.035,                0.81117,                0.77548,                0.80923,                0.44274,                 3.0441,                 2.0123,                 3.0016,               0.009604,               0.009604,               0.009604
                      6,                 3.3196,                 2.1036,                 3.0161,                0.82648,                0.78836,                0.82905,                0.46943,                 3.0623,                 1.8586,                 3.0517,               0.009505,               0.009505,               0.009505
                      7,                 3.2467,                 1.9989,                 2.9847,                0.83648,                0.74777,                0.83546,                0.47622,                 2.9809,                 1.9209,                 3.1155,               0.009406,               0.009406,               0.009406
                      8,                 3.2031,                 1.9085,                 2.9716,                0.87047,                0.79165,                0.86857,                0.48889,                 3.0178,                 1.7977,                 3.1277,               0.009307,               0.009307,               0.009307
                      9,                 3.1622,                 1.8396,                 2.9621,                0.86985,                0.80005,                0.87444,                0.50116,                 3.0103,                 1.6982,                 3.1394,               0.009208,               0.009208,               0.009208
                     10,                 3.1172,                 1.7872,                 2.9288,                0.88436,                0.80125,                0.87351,                0.49685,                 3.0067,                 1.7038,                 3.2286,               0.009109,               0.009109,               0.009109
                     11,                 3.0867,                 1.7587,                 2.9213,                  0.894,                 0.7827,                0.87401,                0.51148,                 2.9108,                 1.7176,                 3.0974,                0.00901,                0.00901,                0.00901
                     12,                 3.0615,                 1.7186,                 2.9186,                0.88291,                0.81106,                0.88408,                0.51315,                  2.963,                 1.6179,                 3.0602,               0.008911,               0.008911,               0.008911
                     13,                 3.0432,                   1.69,                 2.8816,                0.87354,                0.80457,                0.87664,                0.51032,                 2.9811,                 1.6282,                 3.1561,               0.008812,               0.008812,               0.008812
                     14,                 3.0138,                 1.6559,                 2.8718,                 0.9012,                0.81631,                0.89219,                0.50712,                 3.0272,                 1.5564,                 3.1603,               0.008713,               0.008713,               0.008713
                     15,                 2.9874,                 1.6266,                  2.872,                0.87898,                0.80138,                 0.8804,                0.51026,                 2.9196,                 1.7081,                 3.2199,               0.008614,               0.008614,               0.008614
                     16,                 2.9771,                 1.5821,                 2.8566,                0.91441,                0.80366,                0.87753,                0.50471,                 2.9933,                 1.5995,                 3.2539,               0.008515,               0.008515,               0.008515
                     17,                 2.9293,                 1.5759,                 2.8393,                0.88256,                0.80896,                0.88348,                 0.5038,                 2.9982,                 1.6364,                 3.2273,               0.008416,               0.008416,               0.008416
                     18,                 2.9041,                 1.5471,                 2.7912,                0.90847,                0.82848,                0.89706,                0.52421,                 2.9464,                 1.4842,                 3.1916,               0.008317,               0.008317,               0.008317
                     19,                 2.8986,                 1.5138,                 2.8163,                0.89768,                0.82197,                0.89018,                0.52066,                 2.9484,                 1.5503,                 3.0871,               0.008218,               0.008218,               0.008218
                     20,                 2.8951,                 1.5101,                 2.8087,                0.90386,                0.81956,                0.88878,                0.52454,                 2.9032,                 1.5285,                 3.1554,               0.008119,               0.008119,               0.008119
                     21,                 2.8696,                 1.4716,                  2.803,                0.90102,                0.82715,                0.88949,                0.51616,                 2.9393,                 1.4821,                 3.1275,                0.00802,                0.00802,                0.00802
                     22,                 2.8479,                 1.4666,                 2.7964,                 0.9019,                0.83787,                0.89404,                0.53151,                  2.883,                 1.4941,                 3.2214,               0.007921,               0.007921,               0.007921
                     23,                 2.8361,                 1.4234,                 2.7862,                0.90119,                0.83305,                  0.902,                0.52982,                 2.9173,                  1.482,                 3.1643,               0.007822,               0.007822,               0.007822
                     24,                 2.8333,                 1.4375,                 2.7861,                0.84453,                0.82125,                0.87457,                0.51202,                 2.9552,                 1.5868,                 3.2864,               0.007723,               0.007723,               0.007723
                     25,                 2.8243,                 1.4216,                 2.7842,                0.87061,                0.81939,                0.88727,                0.51075,                 2.9815,                 1.5409,                 3.2434,               0.007624,               0.007624,               0.007624
                     26,                 2.7883,                 1.3864,                 2.7779,                0.91422,                0.83486,                0.90127,                0.53686,                 2.8782,                 1.4747,                 3.2144,               0.007525,               0.007525,               0.007525
                     27,                 2.7799,                 1.3702,                 2.7581,                0.91434,                0.83699,                0.89946,                0.52378,                 2.9664,                 1.4884,                 3.2405,               0.007426,               0.007426,               0.007426
